HASTUS_STOP_ID,STOP_DESCRIPTION,STREET_NAME,SUBURB,TACTILES,GDA94_56S_E,GDA94_56S_N,LATITUDE,LONGITUDE
783,Chester Street - 7,Ann St,FORTITUDE VALLEY,N,503972.5319,6963356.7882,,
783,Chester Street - 7,Ann St,FORTITUDE VALLEY,N,,,-27.4532870001997,153.040202000401
2906,30,Kingsford Smith Dr,HAMILTON,N,507260.6837,6965206.1897,,
2906,30,Kingsford Smith Dr,HAMILTON,N,,,-27.4365769998213,153.073467000156
11126,27,Park Av,CLAYFIELD,N,505009.3684,6967667.5365,,
11126,27,Park Av,CLAYFIELD,N,,,-27.4143660002225,153.050676999804
3546,,Earnshaw Rd,BANYO,N,508158.7422,6971612.3177,,
3546,,Earnshaw Rd,BANYO,N,,,-27.3787370003905,153.08251100042
3519,Parkland -,Childs Rd,NUDGEE,N,509439.4244,6972229.6949,,
3519,Parkland -,Childs Rd,NUDGEE,N,,,-27.3731550000762,153.095458000195
3500,Parkland,Childs Rd,NUDGEE,N,509436.6419,6972211.8638,,
3500,Parkland,Childs Rd,NUDGEE,N,,,-27.3733160003094,153.095429999748
10001,Golf Course - 35/32,Nudgee Rd,NUDGEE,N,509715.2534,6972276.2235,,
10001,Golf Course - 35/32,Nudgee Rd,NUDGEE,N,,,-27.3727329996995,153.098246999925
3493,Enviro Centre - 36,Nudgee Rd,NUDGEE BEACH,N,510392.2162,6974960.9491,,
3493,Enviro Centre - 36,Nudgee Rd,NUDGEE BEACH,N,,,-27.3484899996586,153.105069999887
3492,Enviro Centre - 36,Nudgee Rd,NUDGEE BEACH,Y,510412.7314,6974892.7006,,
3492,Enviro Centre - 36,Nudgee Rd,NUDGEE BEACH,Y,,,-27.3491059998725,153.105278000014
10002,Golf Course - 32/35,Nudgee Rd,NUDGEE,Y,509729.5896,6972273.3323,,
10002,Golf Course - 32/35,Nudgee Rd,NUDGEE,Y,,,-27.3727589996318,153.098391999873
11119,30,Emma St,WOOLOOWIN,N,505058.346,6968263.547,,
11119,30,Emma St,WOOLOOWIN,N,,,-27.4089849998953,153.051169999754
3565,Mellville Place - 29,St Vincents Rd,BANYO,Y,507370.6671,6971784.9437,,
3565,Mellville Place - 29,St Vincents Rd,BANYO,Y,,,-27.3771829996897,153.074539999782
3567,Chapel Street - 28,St Vincents Rd,BANYO,Y,507246.6132,6971690.0914,,
3567,Chapel Street - 28,St Vincents Rd,BANYO,Y,,,-27.3780400002784,153.073286000287
3568,Blinzinger Road - 27,St Vincents Rd,BANYO,Y,507096.2486,6971577.3091,,
3568,Blinzinger Road - 27,St Vincents Rd,BANYO,Y,,,-27.3790590004471,153.071766000279
3569,George Street - 26,St Vincents Rd,VIRGINIA,Y,506942.3251,6971460.9825,,
3569,George Street - 26,St Vincents Rd,VIRGINIA,Y,,,-27.3801100003691,153.070210000316
3632,First Street - 25,St Vincents Rd,VIRGINIA,N,506781.9748,6971340.0054,,
3632,First Street - 25,St Vincents Rd,VIRGINIA,N,,,-27.3812029999688,153.068588999918
3570,Meadfoot Road - 24,St Vincents Rd,VIRGINIA,N,506550.5061,6971165.1215,,
3570,Meadfoot Road - 24,St Vincents Rd,VIRGINIA,N,,,-27.3827829997266,153.066249000214
10549,,Brighton Tce,BRIGHTON,N,506201.0019,6979877.056,,
10549,,Brighton Tce,BRIGHTON,N,,,-27.30413200036,153.062670000432
10550,,Brighton Tce,BRIGHTON,N,506206.0896,6979959.6835,,
10550,,Brighton Tce,BRIGHTON,N,,,-27.3033859997792,153.062720999575
10551,,Brighton Tce,BRIGHTON,Y,506313.616,6979514.1358,,
10551,,Brighton Tce,BRIGHTON,Y,,,-27.3074080004359,153.06381000042
14106,,Albany Creek Rd,ALBANY CREEK,N,497056.934,6975270.1322,,
14106,,Albany Creek Rd,ALBANY CREEK,N,,,-27.3457350002337,152.970245000487
14023,Albany Village,Wruck Cr,ALBANY CREEK,N,496859.544,6975135.2829,,
14023,Albany Village,Wruck Cr,ALBANY CREEK,N,,,-27.3469520003143,152.968249000375
11118,31,Emma St,WOOLOOWIN,N,504863.7154,6968295.0829,,
11118,31,Emma St,WOOLOOWIN,N,,,-27.4087010002301,153.049200999885
11095,32,Emma St,WOOLOOWIN,N,504688.2606,6968324.0609,,
11095,32,Emma St,WOOLOOWIN,N,,,-27.4084399998014,153.047426000383
4163,Shaw Road - 37,Shaw Rd,WAVELL HEIGHTS,Y,504746.9525,6969021.6404,,
4163,Shaw Road - 37,Shaw Rd,WAVELL HEIGHTS,Y,,,-27.4021420000231,153.048016999878
11091,Parklands - 36,Shaw Rd,WAVELL HEIGHTS,Y,504696.8959,6968674.7417,,
11091,Parklands - 36,Shaw Rd,WAVELL HEIGHTS,Y,,,-27.4052739999173,153.047512000157
11093,Emma Street - 35,Shaw Rd,WOOLOOWIN,N,504669.9981,6968391.5241,,
11093,Emma Street - 35,Shaw Rd,WOOLOOWIN,N,,,-27.4078310002461,153.047240999693
11087,Lodge Road - 33,Lodge Rd,WOOLOOWIN,N,504373.85,6968172.0954,,
11087,Lodge Road - 33,Lodge Rd,WOOLOOWIN,N,,,-27.4098129996094,153.044245999804
11152,Eliza Street - 37/43,Widop St,CLAYFIELD,N,506199.0012,6967637.9739,,
11152,Eliza Street - 37/43,Widop St,CLAYFIELD,N,,,-27.4146279999578,153.062712000003
10264,3,Junction Rd,CLAYFIELD,N,505898.8187,6967476.1819,,
10264,3,Junction Rd,CLAYFIELD,N,,,-27.416089999755,153.05967599952
10266,4,Junction Rd,CLAYFIELD,N,506108.0631,6967444.5115,,
10266,4,Junction Rd,CLAYFIELD,N,,,-27.4163749998073,153.061792999907
10267,5,Junction Rd,CLAYFIELD,N,506295.6609,6967416.7254,,
10267,5,Junction Rd,CLAYFIELD,N,,,-27.416625000224,153.063690999939
3545,,Holme Av,BOONDALL,Y,506527.6375,6974660.2147,,
3545,,Holme Av,BOONDALL,Y,,,-27.3512289996882,153.065998999931
3559,,College Wy,BOONDALL,Y,506685.4008,6974312.9931,,
3559,,College Wy,BOONDALL,Y,,,-27.3543630002292,153.067595999827
3560,,College Wy,BOONDALL,Y,506994.1835,6974329.7689,,
3560,,College Wy,BOONDALL,Y,,,-27.3542099999659,153.070717999576
3561,,College Wy,BOONDALL,Y,507233.849,6974034.5529,,
3561,,College Wy,BOONDALL,Y,,,-27.3568740003245,153.073143000339
3562,,College Wy,BOONDALL,Y,506852.354,6973967.8688,,
3562,,College Wy,BOONDALL,Y,,,-27.357478000167,153.069285999523
3402,,College Wy,BOONDALL,N,506624.598,6973985.9372,,
3402,,College Wy,BOONDALL,N,,,-27.3573159999843,153.066983000323
3962,,Northumbria Rd,BOONDALL,Y,506371.0358,6974018.3034,,
3962,,Northumbria Rd,BOONDALL,Y,,,-27.3570250000257,153.064419000488
3963,,College Wy,BOONDALL,N,506866.0087,6973979.4915,,
3963,,College Wy,BOONDALL,N,,,-27.3573730003632,153.069424000359
3964,,College Wy,BOONDALL,Y,507229.5155,6974065.5697,,
3964,,College Wy,BOONDALL,Y,,,-27.3565939996056,153.073098999553
3977,,College Wy,BOONDALL,Y,506937.7097,6974328.8039,,
3977,,College Wy,BOONDALL,Y,,,-27.3542190001001,153.070147000354
3439,,Newman Rd,GEEBUNG,N,504798.8223,6973000.9748,,
3439,,Newman Rd,GEEBUNG,N,,,-27.3662160000917,153.048525999559
3978,,College Wy,BOONDALL,Y,506695.1759,6974283.0813,,
3978,,College Wy,BOONDALL,Y,,,-27.3546330000526,153.06769499987
10102,1,Union St,NUNDAH,N,506109.7011,6968752.4327,,
10102,1,Union St,NUNDAH,N,,,-27.404566999715,153.061803000355
4277,5,Hedley Av,NUNDAH,N,506607.0511,6968930.6192,,
4277,5,Hedley Av,NUNDAH,N,,,-27.4029559997077,153.066832999882
4282,8,Amelia St,NUNDAH,N,506939.3408,6968973.1918,,
4282,8,Amelia St,NUNDAH,N,,,-27.4025700002724,153.070194000071
4284,9,Amelia St,NUNDAH,N,506959.1899,6969109.7547,,
4284,9,Amelia St,NUNDAH,N,,,-27.4013369995645,153.070393999848
4291,12,Melton Rd,NUNDAH,N,506569.1387,6969579.0613,,
4291,12,Melton Rd,NUNDAH,N,,,-27.3971019996809,153.066446000159
4293,13,Melton Rd,NORTHGATE,N,506707.2317,6969722.8712,,
4293,13,Melton Rd,NORTHGATE,N,,,-27.3958030003428,153.067841999919
4295,14,Melton Rd,NORTHGATE,N,506787.9444,6969792.6093,,
4295,14,Melton Rd,NORTHGATE,N,,,-27.3951729998392,153.068657999635
4297,15,Melton Rd,NORTHGATE,N,507031.9529,6969977.8938,,
4297,15,Melton Rd,NORTHGATE,N,,,-27.3934990000003,153.071124999696
3539,Bilambil Street - 24,Tufnell Rd,BANYO,Y,508357.3235,6971071.7605,,
3539,Bilambil Street - 24,Tufnell Rd,BANYO,Y,,,-27.3836160001933,153.08452300026
11134,Kreutzer Street -,Kreutzer St,NUNDAH,N,506172.3852,6968374.9119,,
11134,Kreutzer Street -,Kreutzer St,NUNDAH,N,,,-27.4079750002393,153.062438999923
3541,Kelyndar Street - 25,Tufnell Rd,BANYO,Y,508252.5089,6971211.0633,,
3541,Kelyndar Street - 25,Tufnell Rd,BANYO,Y,,,-27.3823589996624,153.083461999645
19024,,Beenleigh Rd,KURABY,N,509810.1832,6946347.6708,,
19024,,Beenleigh Rd,KURABY,N,,,-27.6068139997029,153.099416999938
19012,,Beenleigh Rd,KURABY,N,508952.6433,6946569.2034,,
19012,,Beenleigh Rd,KURABY,N,,,-27.6048200001703,153.090724999841
11061,Sayers Street,Webster Rd,STAFFORD,N,501653.8791,6967946.3566,,
11061,Sayers Street,Webster Rd,STAFFORD,N,,,-27.4118569996663,153.016731000065
10439,Lindley Street - 29,Webster Rd,STAFFORD,N,501617.3719,6967710.0981,,
10439,Lindley Street - 29,Webster Rd,STAFFORD,N,,,-27.4139900001116,153.01636199955
4499,Wulfrunian - 28,Webster Rd,STAFFORD,Y,501572.4579,6967424.8821,,
4499,Wulfrunian - 28,Webster Rd,STAFFORD,Y,,,-27.4165649998416,153.015907999924
10168,Raymont Road - 27,Grange Rd,GRANGE,N,501505.3805,6966941.6192,,
10168,Raymont Road - 27,Grange Rd,GRANGE,N,,,-27.4209279999018,153.015230000069
5101,Grange-Days - 25b,Grange Rd,GRANGE,N,501428.4232,6966447.834,,
5101,Grange-Days - 25b,Grange Rd,GRANGE,N,,,-27.4253860001725,153.014452000074
30048,,Thuruna St,STAFFORD,N,500842.5652,6968772.3076,,
30048,,Thuruna St,STAFFORD,N,,,-27.4044009998169,153.008523000462
10848,,John Fisher Dr,BRACKEN RIDGE,N,504326.4828,6978833.5704,,
10848,,John Fisher Dr,BRACKEN RIDGE,N,,,-27.3135600000151,153.043728999823
6273,,Skylark St,INALA,N,498078.7603,6946957.5903,,
6273,,Skylark St,INALA,N,,,-27.6013420000243,152.980531000445
440,,Maygar St,WINDSOR,N,502936.0796,6966297.3678,,
440,,Maygar St,WINDSOR,N,,,-27.4267419999863,153.029706000384
11114,Morrison Road - 27,Morrison Rd,CLAYFIELD,N,505070.8723,6967475.7757,,
11114,Morrison Road - 27,Morrison Rd,CLAYFIELD,N,,,-27.4160970000995,153.051300000169
11112,Adamson Street - 26,Norman Pde,CLAYFIELD,N,504781.8433,6967478.2176,,
11112,Adamson Street - 26,Norman Pde,CLAYFIELD,N,,,-27.4160759995838,153.048375999887
11180,Victoria Parade - 24,Bonney Av,CLAYFIELD,Y,504683.3921,6966961.3112,,
11180,Victoria Parade - 24,Bonney Av,CLAYFIELD,Y,,,-27.4207430000376,153.047382000048
11182,Bonney Avenue - 23,Bonney Av,CLAYFIELD,Y,504639.9019,6966701.6924,,
11182,Bonney Avenue - 23,Bonney Av,CLAYFIELD,Y,,,-27.4230870000403,153.04694299975
11184,Rees Avenue - 22,Bonney Av,CLAYFIELD,Y,504602.0497,6966448.1634,,
11184,Rees Avenue - 22,Bonney Av,CLAYFIELD,Y,,,-27.4253759998717,153.046561000113
11186,Bonney Avenue - 21,Bonney Av,CLAYFIELD,Y,504571.6225,6966223.5413,,
11186,Bonney Avenue - 21,Bonney Av,CLAYFIELD,Y,,,-27.4274040003245,153.04625399962
11187,Bonney Avenue - 21,Bonney Av,CLAYFIELD,Y,504560.1586,6966226.7578,,
11187,Bonney Avenue - 21,Bonney Av,CLAYFIELD,Y,,,-27.4273750000658,153.046138000044
11185,Rees Avenue - 22,Bonney Av,CLAYFIELD,Y,504586.8128,6966406.2995,,
11185,Rees Avenue - 22,Bonney Av,CLAYFIELD,Y,,,-27.4257540004072,153.046406999618
11183,Bonney Avenue - 23,Bonney Av,CLAYFIELD,Y,504622.6843,6966650.4143,,
11183,Bonney Avenue - 23,Bonney Av,CLAYFIELD,Y,,,-27.4235499996772,153.046769000247
11181,Victoria Parade - 24,Bonney Av,CLAYFIELD,N,504656.2711,6966861.0784,,
11181,Victoria Parade - 24,Bonney Av,CLAYFIELD,N,,,-27.421647999706,153.047108000223
3975,,Holme Av,BOONDALL,Y,506517.9562,6974681.8189,,
3975,,Holme Av,BOONDALL,Y,,,-27.3510340002261,153.06590099981
3408,Kirby South - 45,Kirby Rd,ASPLEY,N,502488.5731,6972322.2249,,
3408,Kirby South - 45,Kirby Rd,ASPLEY,N,,,-27.3723500004517,153.025165999742
11110,Bayview Terrace - 25,Bonney Av,CLAYFIELD,Y,504728.3827,6967262.4664,,
11110,Bayview Terrace - 25,Bonney Av,CLAYFIELD,Y,,,-27.4180239998447,153.047835999594
3407,Alisa Street - 46/47,Kirby Rd,ASPLEY,Y,502540.764,6972699.7016,,
3407,Alisa Street - 46/47,Kirby Rd,ASPLEY,Y,,,-27.3689420004128,153.025692999578
3404,Kirby Road - 48,Kirby Rd,ASPLEY,Y,502575.9089,6972886.8872,,
3404,Kirby Road - 48,Kirby Rd,ASPLEY,Y,,,-27.3672520004032,153.026048000163
3384,Aspley East - 50,Kirby Rd,ASPLEY,Y,502631.068,6973247.3049,,
3384,Aspley East - 50,Kirby Rd,ASPLEY,Y,,,-27.3639979996634,153.026604999781
3398,,Robinson Rd,ASPLEY,Y,502849.9778,6973070.0322,,
3398,,Robinson Rd,ASPLEY,Y,,,-27.3655980003108,153.028818999961
3396,51,Robinson Rd,ASPLEY,Y,503042.1178,6973038.3075,,
3396,51,Robinson Rd,ASPLEY,Y,,,-27.3658840002249,153.030762000241
3394,52,Robinson Rd,ASPLEY,Y,503164.0471,6973020.4437,,
